"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 02 17:47:15 GMT 2025","Sun Mar 02 17:47:15 GMT 2025","837","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Sun Mar 02 17:47:13 GMT 2025","Sun Mar 02 17:47:15 GMT 2025","1345","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Mar 02 17:47:13 GMT 2025","Sun Mar 02 17:47:13 GMT 2025","320","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Mar 02 17:47:06 GMT 2025","Sun Mar 02 17:47:06 GMT 2025","461","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the page ""/api/"" is responsive.","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Sun Mar 02 17:47:23 GMT 2025","Sun Mar 02 17:47:23 GMT 2025","305","webkit","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Mar 02 17:47:23 GMT 2025","Sun Mar 02 17:47:24 GMT 2025","1041","webkit","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Mar 02 17:47:25 GMT 2025","Sun Mar 02 17:47:26 GMT 2025","268","webkit","test.test.ts","","","","Test 1",""
"passed","Sun Mar 02 17:47:23 GMT 2025","Sun Mar 02 17:47:23 GMT 2025","377","webkit","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Mar 02 17:47:12 GMT 2025","Sun Mar 02 17:47:13 GMT 2025","381","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Mar 02 17:47:21 GMT 2025","Sun Mar 02 17:47:22 GMT 2025","422","firefox","test.test.ts","","","","Test 1",""
"passed","Sun Mar 02 17:47:15 GMT 2025","Sun Mar 02 17:47:16 GMT 2025","225","chromium","test.test.ts","","","","Test 1",""
"passed","Sun Mar 02 17:47:11 GMT 2025","Sun Mar 02 17:47:12 GMT 2025","302","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the homepage loads correctly.","Ensure that the homepage loads correctly by verifying URL and ""/api/users/"" response."
"passed","Sun Mar 02 17:47:20 GMT 2025","Sun Mar 02 17:47:21 GMT 2025","1149","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Sun Mar 02 17:47:24 GMT 2025","Sun Mar 02 17:47:25 GMT 2025","870","webkit","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Sun Mar 02 17:47:19 GMT 2025","Sun Mar 02 17:47:20 GMT 2025","1257","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Mar 02 17:47:18 GMT 2025","Sun Mar 02 17:47:19 GMT 2025","484","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Mar 02 17:47:16 GMT 2025","Sun Mar 02 17:47:17 GMT 2025","1291","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
