"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 26 18:52:35 GMT 2025","Sun Jan 26 18:52:36 GMT 2025","645","webkit","test.spec.ts","","","","Test 1",""
"failed","Sun Jan 26 18:49:49 GMT 2025","Sun Jan 26 18:50:00 GMT 2025","10906","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Jan 26 18:51:18 GMT 2025","Sun Jan 26 18:51:19 GMT 2025","1112","firefox","test.spec.ts","","","","Test 1",""
"passed","Sun Jan 26 18:50:01 GMT 2025","Sun Jan 26 18:50:01 GMT 2025","352","chromium","test.spec.ts","","","","Test 1",""
"failed","Sun Jan 26 18:51:05 GMT 2025","Sun Jan 26 18:51:16 GMT 2025","11247","firefox","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:49:14 GMT 2025","Sun Jan 26 18:49:25 GMT 2025","10911","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:52:23 GMT 2025","Sun Jan 26 18:52:35 GMT 2025","11052","webkit","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:51:49 GMT 2025","Sun Jan 26 18:52:00 GMT 2025","11045","webkit","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"failed","Sun Jan 26 18:50:27 GMT 2025","Sun Jan 26 18:50:38 GMT 2025","11241","firefox","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
