"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 09 17:21:06 GMT 2025","Sun Mar 09 17:21:06 GMT 2025","360","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the page ""/api/"" is responsive.","Ensure that the ""/api/"" page loads correctly by verifying ""/api/"" response and App name."
"passed","Sun Mar 09 17:21:08 GMT 2025","Sun Mar 09 17:21:09 GMT 2025","350","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Mar 09 17:21:16 GMT 2025","Sun Mar 09 17:21:18 GMT 2025","1260","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Sun Mar 09 17:21:12 GMT 2025","Sun Mar 09 17:21:12 GMT 2025","329","chromium","test.test.ts","","","","Test 1",""
"passed","Sun Mar 09 17:21:15 GMT 2025","Sun Mar 09 17:21:16 GMT 2025","1533","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Mar 09 17:21:12 GMT 2025","Sun Mar 09 17:21:14 GMT 2025","1293","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Mar 09 17:21:23 GMT 2025","Sun Mar 09 17:21:23 GMT 2025","264","webkit","test.test.ts","","","","Test 1",""
"passed","Sun Mar 09 17:21:14 GMT 2025","Sun Mar 09 17:21:15 GMT 2025","577","firefox","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Mar 09 17:21:09 GMT 2025","Sun Mar 09 17:21:10 GMT 2025","1713","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Mar 09 17:21:20 GMT 2025","Sun Mar 09 17:21:20 GMT 2025","377","webkit","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Mar 09 17:21:10 GMT 2025","Sun Mar 09 17:21:12 GMT 2025","1163","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Sun Mar 09 17:21:20 GMT 2025","Sun Mar 09 17:21:21 GMT 2025","1510","webkit","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - no POM",""
"passed","Sun Mar 09 17:21:18 GMT 2025","Sun Mar 09 17:21:18 GMT 2025","422","firefox","test.test.ts","","","","Test 1",""
"passed","Sun Mar 09 17:21:19 GMT 2025","Sun Mar 09 17:21:19 GMT 2025","414","webkit","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Mar 09 17:21:07 GMT 2025","Sun Mar 09 17:21:07 GMT 2025","430","Setup","server.setup.ts","Verify the server is responsive.","","","Ensure the homepage loads correctly.","Ensure that the homepage loads correctly by verifying URL and ""/api/users/"" response."
"passed","Sun Mar 09 17:21:21 GMT 2025","Sun Mar 09 17:21:23 GMT 2025","1090","webkit","search.func.test.ts","Should Search Users By Search Criteria","","","Search User With Unique First Name - POM v2","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Sun Mar 09 17:21:08 GMT 2025","Sun Mar 09 17:21:08 GMT 2025","442","chromium","navigationUI.test.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
