"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 26 19:17:39 GMT 2025","Sun Jan 26 19:17:39 GMT 2025","371","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Jan 26 19:17:39 GMT 2025","Sun Jan 26 19:17:40 GMT 2025","280","chromium","test.spec.ts","","","","Test 1",""
"passed","Sun Jan 26 19:17:22 GMT 2025","Sun Jan 26 19:17:39 GMT 2025","17433","chromium","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
"passed","Sun Jan 26 19:17:42 GMT 2025","Sun Jan 26 19:17:43 GMT 2025","464","firefox","test.spec.ts","","","","Test 1",""
"passed","Sun Jan 26 19:17:42 GMT 2025","Sun Jan 26 19:17:42 GMT 2025","487","firefox","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Search Tab Load Correctly And Available",""
"passed","Sun Jan 26 19:17:40 GMT 2025","Sun Jan 26 19:17:41 GMT 2025","1220","firefox","navigationUI.spec.ts","Navigation tabs are available","","","TC-NavBar-1: Verify Add Tab Load Correctly And Available",""
